name,week1rose,week1highlight,week2rose,week2highlight,week3rose,week3highlight,week4rose,week4highlight,week5rose,week5highlight,week6rose,week6highlight,week7rose,week7highlight,week8rose,week8highlight,week9rose,week9highlight,week10rose,week10highlight
Alayah,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Alexa,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Avonlea,FALSE,,,,,,,,,,,,,,,,,,,
Courtney,TRUE,,FALSE,,,,,,,,,,,,,,,,,
Deandra,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Eunice,FALSE,,,,,,,,,,,,,,,,,,,
Hannah Ann,TRUE,Hannah Ann received the first impression rose! She also ruffled feathers by stealing Peter 3 times during the cocktail party.,TRUE,"Hannah Ann received her group date rose! Kelsey also accused Hannah Ann of purposely opening her special bottle of champagne with Peter. After the crisis, Hannah Ann told Peter Kelsey was bullying her.",,,,,,,,,,,,,,,,
Jade,FALSE,,,,,,,,,,,,,,,,,,,
Jasmine,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Jenna,FALSE,,,,,,,,,,,,,,,,,,,
Katrina,FALSE,,,,,,,,,,,,,,,,,,,
Kelley,TRUE,Kelley met Peter a month ago at a wedding—she might have an advangage here. She also allegedly cheated at the obstacle course to secure her plane date with Peter!,TRUE,,,,,,,,,,,,,,,,,
Kelsey,TRUE,,TRUE,"Kelsey accused Hannah Ann of purposely opening her special bottle of champagne with Peter. After the crisis, Hannah Ann told Peter Kelsey was bullying her. She also spilled champagne on her face :(.",,,,,,,,,,,,,,,,
Kiarra,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Kylie,FALSE,,,,,,,,,,,,,,,,,,,
Lauren,TRUE,,FALSE,,,,,,,,,,,,,,,,,
Lexi,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Madison,TRUE,Madison received the first one-on-on date and a rose to boot!,TRUE,,,,,,,,,,,,,,,,,
Maurissa,FALSE,,,,,,,,,,,,,,,,,,,
Megan,FALSE,,,,,,,,,,,,,,,,,,,
Mykenna,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Natasha,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Payton,TRUE,,FALSE,,,,,,,,,,,,,,,,,
Sarah,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Savannah,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Shiann,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Sydney,TRUE,,TRUE,Sydney received her group date rose!,,,,,,,,,,,,,,,,
Tammy,TRUE,,TRUE,,,,,,,,,,,,,,,,,
Victoria F.,TRUE,,TRUE,"Victoria F. Is nervous about her fashion show group date, but ultimately gives Hannah Ann a run for her money. ",,,,,,,,,,,,,,,,
Victoria P.,TRUE,,TRUE,,,,,,,,,,,,,,,,,
