Date,Movie,Rating,,isRewatch?,Provider,Cried 😢,Theater companion,Notes
2018-02-01,The Santa Clause,9,,TRUE,Netflix,FALSE,,
2018-02-16,The Ritual,3,,FALSE,Netflix,FALSE,,
2018-02-16,Taking Lives,5,,FALSE,Netflix,FALSE,,
2018-03-16,The Devil's Candy,7.5,,FALSE,Netflix,FALSE,,
2018-04-30,Behind the Curtain: Todrick Hall,6.5,,FALSE,Netflix,FALSE,,
2018-05-05,The Invitation,8.5,,FALSE,Netflix,FALSE,,
2018-06-13,The Village,5.5,,FALSE,Netflix,FALSE,,
2018-08-01,It Follows,9.5,,FALSE,Netflix,FALSE,,
2018-08-05,The Galapagos Affair: Satan Came to Eden,6.5,,FALSE,Netflix,FALSE,,
2018-09-30,Pirates of the Caribbean: On Stranger Tides,3,,FALSE,Amazon,FALSE,,
2018-09-30,Pirates of the Caribbean: At World's End,5,,TRUE,Amazon,FALSE,,
2018-10-01,Fargo,9.5,,TRUE,Amazon,FALSE,,
2018-10-06,Paranormal Activity,4,,TRUE,Amazon,FALSE,,
2018-10-07,The Usual Suspects,7,,FALSE,Amazon,FALSE,,
2018-10-14,Swimfan,7,,TRUE,Amazon,FALSE,,
2018-10-14,Triangle,7,,FALSE,Amazon,FALSE,,
2018-10-14,Coherence,8.5,,FALSE,Hulu,FALSE,,
2018-10-14,Mermaids,9.5,,TRUE,Amazon,TRUE,,
2018-10-15,Hereditary,7.5,,FALSE,Amazon,FALSE,,
2018-10-31,Hocus Pocus,9,,TRUE,Amazon,FALSE,,
2018-11-01,Cube Zero,4,,TRUE,Amazon,FALSE,,
2018-11-01,Cube 2: Hyper Cube,5,,TRUE,Amazon,FALSE,,
2018-11-01,Cube,6.5,,TRUE,Amazon,FALSE,,
2018-11-10,Disney's The Kid,7,,TRUE,Amazon,TRUE,,
2018-11-10,Muriel's Wedding,7.5,,FALSE,Amazon,TRUE,,
2018-11-17,I Know What You Did Last Summer,6.5,,TRUE,Amazon,FALSE,,
2018-12-01,Elf,6.5,,FALSE,Amazon,FALSE,,
2018-12-15,Platoon,7,,FALSE,Amazon,TRUE,,
2018-12-16,Shaun of the Dead,10,,TRUE,Netflix,FALSE,,
2018-12-20,Dumplin',7.5,,FALSE,Netflix,FALSE,,
2019-01-01,The Sixth Sense,9,,TRUE,Netflix,FALSE,,
2019-01-09,Monster-in-Law,7,,TRUE,Netflix,FALSE,,
2019-01-15,Bridesmaids,8,,TRUE,Amazon,FALSE,,
2019-01-15,The Game,8,,TRUE,Amazon,FALSE,,
2019-01-20,Can You Ever Forgive Me?,9,,FALSE,Amazon,TRUE,,
2019-01-21,Gothika,6.5,,TRUE,Netflix,FALSE,,
2019-02-01,Little Italy,2,,FALSE,Amazon,FALSE,,
2019-02-01,Eighth Grade,9.5,,FALSE,Amazon,TRUE,,
2019-02-01,The Wife,9.5,,FALSE,Amazon,TRUE,,
2019-02-04,The Favourite,8,,FALSE,Amazon,FALSE,,
2019-02-04,Abducted in Plain Sight,8.5,,FALSE,Netflix,FALSE,,
2019-02-07,The Good Neighbor,5.5,,FALSE,Netflix,FALSE,,
2019-02-14,The Departed,9.5,,TRUE,Netflix,FALSE,,
2019-02-15,Dragon Blade,2.5,,FALSE,Amazon,FALSE,,
2019-02-15,Blackkklansman,9,,FALSE,Amazon,TRUE,,
2019-03-13,Juanita,7,,FALSE,Netflix,FALSE,,
2019-03-15,The Snowman,2,,FALSE,Amazon,FALSE,,
2019-03-20,Wind River,9,,FALSE,Amazon,TRUE,,
2019-03-25,Van Helsing,2,,FALSE,Amazon,FALSE,,
2019-03-25,The Shawshank Redemption,8.5,,FALSE,Amazon,TRUE,,
2019-04-04,Ghost Ship,5,,TRUE,Amazon,FALSE,,
2019-04-04,28 Days Later,10,,TRUE,Amazon,FALSE,,
2019-04-15,The Secret,3.5,,FALSE,Amazon,FALSE,,
2019-04-15,Josie and the Pussycats,10,,TRUE,Amazon,FALSE,,
2019-04-25,Hello Mary Lou: Prom Night II,4,,FALSE,Amazon,FALSE,,
2019-04-28,"As Above, So Below",7,,TRUE,Netflix,FALSE,,
2019-04-28,Captain Ron,8.5,,TRUE,Amazon,FALSE,,
2019-05-28,The Sound of Music,10,,TRUE,Amazon,TRUE,,
2019-06-19,Ma,7,,FALSE,Movies,FALSE,Mom,
2019-06-19,Midsommar,9.5,,FALSE,Amazon,TRUE,,
2019-06-19,Jane Fonda In Five Acts,10,,FALSE,Amazon,TRUE,,
2019-06-20,Secret Window,7,,TRUE,Amazon,FALSE,,
2019-06-30,Billy Elliot,8.5,,TRUE,Netflix,TRUE,,
2019-07-10,10 Things I Hate About You,10,,TRUE,Amazon,FALSE,,
2019-07-28,Secret Obsession,2,,FALSE,Netflix,FALSE,,
2019-07-28,Scream,7,,TRUE,Netflix,FALSE,,
2019-08-02,Drop Dead Fred,9,,TRUE,Amazon,FALSE,,
2019-08-10,A Star Is Born (2019),8.5,,FALSE,Amazon,TRUE,,
2019-09-05,IT,7,,TRUE,Amazon,FALSE,,
2019-10-05,IT 2,5.5,,FALSE,Movies,FALSE,,
2019-10-06,Serenity (2019),4.5,,FALSE,Amazon,FALSE,,
2019-10-10,Breaking In,4,,FALSE,Amazon,FALSE,,
2019-10-10,George of the Jungle,7.5,,TRUE,Amazon,FALSE,,
2019-10-25,Some Like It Hot,7.5,,TRUE,Amazon,FALSE,,
2019-11-01,Booksmart,8.5,,FALSE,Amazon,TRUE,,
2019-11-02,Lady Bird,6.5,,FALSE,Amazon,FALSE,,
2019-11-09,In The Tall Grass,7,,FALSE,Netflix,FALSE,,
2019-11-11,Eli,2.5,,FALSE,Netflix,FALSE,,
2019-11-16,Step Brothers,7,,TRUE,Netflix,FALSE,,
2019-11-17,The Killing of a Sacred Deer,9,,FALSE,Amazon,TRUE,,
2019-11-20,The Lobster,7.5,,FALSE,Amazon,FALSE,,
2019-11-20,The Sisters Brothers,5,,FALSE,Other,FALSE,,Nick White's house
2019-11-25,Girl Most Likely,5,,FALSE,Amazon,FALSE,,
2019-12-08,Destination Wedding,7.5,,FALSE,Amazon,FALSE,,
2019-12-16,Marriage Story,8,,FALSE,Netflix,TRUE,,
2019-12-21,My Cousin Vinny,8.5,,TRUE,Amazon,FALSE,,
2019-12-25,Die Hard,8,,TRUE,Amazon,FALSE,,
2019-12-26,"South Park: Bigger, Longer & Uncut",8.5,,TRUE,Amazon,FALSE,,
2019-12-27,MacGruber,7.5,,FALSE,Amazon,FALSE,,
2019-12-28,Long Shot,3,,FALSE,Amazon,FALSE,,
2019-12-28,Lady Macbeth,9.5,,FALSE,Amazon,FALSE,,
2019-12-30,Uncut Gems,6.5,,FALSE,Movies,FALSE,Pat,
2020-01-04,The Irishman,3.5,,FALSE,Netflix,FALSE,,
2020-01-06,Leaving Neverland,10,,FALSE,Amazon,TRUE,,
2020-01-10,Little Women,9,,FALSE,Movies,TRUE,Solo,
2020-01-12,The Nun,1,,FALSE,Amazon,FALSE,,
2020-01-12,Bridesmaids,7.5,,TRUE,Amazon,FALSE,,
2020-01-12,Call Me By Your Name,10,,FALSE,Amazon,TRUE,,
2020-01-12,Call Me By Your Name,10,,TRUE,Amazon,TRUE,,
2020-01-15,Rocketman,8.5,,FALSE,Amazon,TRUE,,
2020-01-25,Bad Boys II,4,,TRUE,Netflix,FALSE,,
2020-01-26,The Intruder,2.5,,FALSE,Amazon,FALSE,,
2020-01-26,Bend it Like Beckham,9,,TRUE,Amazon,FALSE,,
2020-02-08,Once Upon a Time... in Hollywood,8.5,,FALSE,Amazon,FALSE,,
2020-02-09,Parasite,10,,FALSE,Amazon,FALSE,,
2020-02-14,Horse Girl,8,,FALSE,Netflix,FALSE,,
2020-02-16,Parasite,10,,TRUE,Movies,FALSE,Ellen,
2020-02-17,What Lies Beneath,6,,TRUE,Netflix,FALSE,,
2020-03-01,Don't Say a Word,7,,TRUE,Amazon,FALSE,,
2020-03-14,One Hundred and One Dalmatians,7.5,,TRUE,Disney+,FALSE,,
2020-03-15,Disney's The Kid,7,,TRUE,Disney+,TRUE,,
2020-04-04,Rear Window,7.5,,FALSE,Amazon,TRUE,,
2020-04-07,The Gift,5.5,,FALSE,Netflix,FALSE,,
2020-04-10,I See You,6.5,,FALSE,Amazon,FALSE,,
2020-04-10,The Kindergarten Teacher,6.5,,FALSE,Netflix,FALSE,,
2020-04-11,Girl on the Third Floor,4,,FALSE,Netflix,FALSE,,
2020-04-11,Moving Parts,9,,FALSE,Netflix,TRUE,,
2020-04-15,Delerium,,#N/A,FALSE,,FALSE,,
2020-05-01,Knives Out,7,,FALSE,Amazon,FALSE,,
2020-05-02,Hush,7,,TRUE,Netflix,FALSE,,
2020-05-02,Oculus,7.5,,TRUE,Hulu,FALSE,,
2020-05-09,Little Women,8.5,,TRUE,Amazon,TRUE,,
2020-05-17,Disturbia,7,,TRUE,Amazon,FALSE,,
2020-05-20,The House at the End of the Street,7,,TRUE,Netflix,FALSE,,
2020-05-25,Harold and Maude,9,,FALSE,Amazon,FALSE,,
2020-05-29,The Lodge,7,,FALSE,Amazon,FALSE,,
2020-05-30,For the Weekend,1.5,,FALSE,Amazon,FALSE,,
2020-05-31,Bone Tomahawk,7,,FALSE,Amazon,FALSE,,
2020-05-31,Confessions of a Dangerous Mind,7,,FALSE,Amazon,FALSE,,
2020-06-02,Harold and Maude,9,,TRUE,Amazon,TRUE,,
2020-06-03,Taxi Driver,6.5,,FALSE,Netflix,FALSE,,
2020-06-19,Joy Ride,6.5,,TRUE,Amazon,FALSE,,
2020-06-22,Voyeur (2017),5,,FALSE,Netflix,FALSE,,
